Date,Effluent Flow (m^3/s)
1/1/2015,93
1/2/2015,247
1/3/2015,237
1/4/2015,93
1/5/2015,252
1/6/2015,254
1/7/2015,261
1/8/2015,253
1/9/2015,258
1/10/2015,208
1/11/2015,129
1/12/2015,304
1/13/2015,385
1/14/2015,335
1/15/2015,327
1/16/2015,386
1/17/2015,326
1/18/2015,148
1/19/2015,423
1/20/2015,382
1/21/2015,432
1/22/2015,375
1/23/2015,365
1/24/2015,304
1/25/2015,82
1/26/2015,386
1/27/2015,359
1/28/2015,381
1/29/2015,358
1/30/2015,328
1/31/2015,260
2/1/2015,94
2/2/2015,331
2/3/2015,245
2/4/2015,314
2/5/2015,290
2/6/2015,347
2/7/2015,357
2/8/2015,98
2/9/2015,304
2/10/2015,306
2/11/2015,307
2/12/2015,281
2/13/2015,303
2/14/2015,297
2/15/2015,103
2/16/2015,318
2/17/2015,103
2/18/2015,294
2/19/2015,315
2/20/2015,271
2/21/2015,222
2/22/2015,151
2/23/2015,359
2/24/2015,388
2/25/2015,345
2/26/2015,396
2/27/2015,405
2/28/2015,326
3/1/2015,165
3/2/2015,432
3/3/2015,424
3/4/2015,405
3/5/2015,386
3/6/2015,410
3/7/2015,204
3/8/2015,168
3/9/2015,285
3/10/2015,697
3/11/2015,674
3/12/2015,662
3/13/2015,629
3/14/2015,600
3/15/2015,399
3/16/2015,503
3/17/2015,537
3/18/2015,582
3/19/2015,555
3/20/2015,610
3/21/2015,610
3/22/2015,604
3/23/2015,575
3/24/2015,549
3/25/2015,599
3/26/2015,684
3/27/2015,650
3/28/2015,506
3/29/2015,196
3/30/2015,578
3/31/2015,328
4/1/2015,455
4/2/2015,394
4/3/2015,167
4/4/2015,395
4/5/2015,178
4/6/2015,424
4/7/2015,399
4/8/2015,107
4/9/2015,157
4/10/2015,160
4/11/2015,157
4/12/2015,155
4/13/2015,154
4/14/2015,288
4/15/2015,292
4/16/2015,460
4/17/2015,304
4/18/2015,57
4/19/2015,156
4/20/2015,416
4/21/2015,55
4/22/2015,307
4/23/2015,337
4/24/2015,56
4/25/2015,61
4/26/2015,56
4/27/2015,96
4/28/2015,142
4/29/2015,237
4/30/2015,84
5/1/2015,75
5/2/2015,75
5/3/2015,75
5/4/2015,265
5/5/2015,75
5/6/2015,73
5/7/2015,73
5/8/2015,73
5/9/2015,73
5/10/2015,73
5/11/2015,74
5/12/2015,75
5/13/2015,74
5/14/2015,123
5/15/2015,144
5/16/2015,192
5/17/2015,172
5/18/2015,168
5/19/2015,200
5/20/2015,246
5/21/2015,205
5/22/2015,202
5/23/2015,100
5/24/2015,76
5/25/2015,242
5/26/2015,198
5/27/2015,164
5/28/2015,77
5/29/2015,79
5/30/2015,76
5/31/2015,139
6/1/2015,210
6/2/2015,230
6/3/2015,258
6/4/2015,125
6/5/2015,243
6/6/2015,221
6/7/2015,89
6/8/2015,190
6/9/2015,151
6/10/2015,187
6/11/2015,186
6/12/2015,185
6/13/2015,108
6/14/2015,93
6/15/2015,183
6/16/2015,181
6/17/2015,182
6/18/2015,185
6/19/2015,202
6/20/2015,78
6/21/2015,78
6/22/2015,194
6/23/2015,189
6/24/2015,183
6/25/2015,250
6/26/2015,167
6/27/2015,65
6/28/2015,90
6/29/2015,116
6/30/2015,115
7/1/2015,166
7/2/2015,179
7/3/2015,181
7/4/2015,76
7/5/2015,130
7/6/2015,357
7/7/2015,456
7/8/2015,346
7/9/2015,186
7/10/2015,328
7/11/2015,324
7/12/2015,141
7/13/2015,298
7/14/2015,391
7/15/2015,351
7/16/2015,343
7/17/2015,231
7/18/2015,237
7/19/2015,112
7/20/2015,254
7/21/2015,261
7/22/2015,253
7/23/2015,273
7/24/2015,217
7/25/2015,139
7/26/2015,130
7/27/2015,216
7/28/2015,231
7/29/2015,241
7/30/2015,160
7/31/2015,225
8/1/2015,142
8/2/2015,148
8/3/2015,241
8/4/2015,233
8/5/2015,248
8/6/2015,75
8/7/2015,232
8/8/2015,194
8/9/2015,169
8/10/2015,240
8/11/2015,243
8/12/2015,321
8/13/2015,281
8/14/2015,344
8/15/2015,136
8/16/2015,79
8/17/2015,276
8/18/2015,271
8/19/2015,234
8/20/2015,237
8/21/2015,272
8/22/2015,190
8/23/2015,64
8/24/2015,217
8/25/2015,263
8/26/2015,260
8/27/2015,269
8/28/2015,303
8/29/2015,199
8/30/2015,73
8/31/2015,286
9/1/2015,307
9/2/2015,313
9/3/2015,330
9/4/2015,344
9/5/2015,322
9/6/2015,146
9/7/2015,132
9/8/2015,252
9/9/2015,233
9/10/2015,356
9/11/2015,368
9/12/2015,333
9/13/2015,192
9/14/2015,416
9/15/2015,423
9/16/2015,433
9/17/2015,403
9/18/2015,374
9/19/2015,341
9/20/2015,179
9/21/2015,375
9/22/2015,340
9/23/2015,353
9/24/2015,369
9/25/2015,381
9/26/2015,375
9/27/2015,186
9/28/2015,339
9/29/2015,365
9/30/2015,371
10/1/2015,542
10/2/2015,488
10/3/2015,601
10/4/2015,136
10/5/2015,602
10/6/2015,635
10/7/2015,613
10/8/2015,628
10/9/2015,616
10/10/2015,254
10/11/2015,138
10/12/2015,401
10/13/2015,575
10/14/2015,549
10/15/2015,518
10/16/2015,450
10/17/2015,405
10/18/2015,140
10/19/2015,291
10/20/2015,421
10/21/2015,431
10/22/2015,465
10/23/2015,470
10/24/2015,216
10/25/2015,128
10/26/2015,387
10/27/2015,401
10/28/2015,365
10/29/2015,379
10/30/2015,293
10/31/2015,368
11/1/2015,118
11/2/2015,168
11/3/2015,294
11/4/2015,273
11/5/2015,314
11/6/2015,276
11/7/2015,284
11/8/2015,230
11/9/2015,268
11/10/2015,324
11/11/2015,290
11/12/2015,294
11/13/2015,371
11/14/2015,341
11/15/2015,211
11/16/2015,350
11/17/2015,407
11/18/2015,482
11/19/2015,529
11/20/2015,450
11/21/2015,327
11/22/2015,97
11/23/2015,381
11/24/2015,493
11/25/2015,433
11/26/2015,682
11/27/2015,702
11/28/2015,665
11/29/2015,707
11/30/2015,732
12/1/2015,673
12/2/2015,745
12/3/2015,624
12/4/2015,645
12/5/2015,735
12/6/2015,776
12/7/2015,772
12/8/2015,763
12/9/2015,757
12/10/2015,756
12/11/2015,753
12/12/2015,756
12/13/2015,677
12/14/2015,657
12/15/2015,674
12/16/2015,659
12/17/2015,587
12/18/2015,607
12/19/2015,636
12/20/2015,267
12/21/2015,458
12/22/2015,467
12/23/2015,443
12/24/2015,151
12/25/2015,131
12/26/2015,415
12/27/2015,229
12/28/2015,639
12/29/2015,780
12/30/2015,890
12/31/2015,1135
1/1/2016,1087
1/2/2016,1073
1/3/2016,1092
1/4/2016,1249
1/5/2016,1244
1/6/2016,1194
1/7/2016,961
1/8/2016,976
1/9/2016,1236
1/10/2016,1131
1/11/2016,967
1/12/2016,962
1/13/2016,1554.1
1/14/2016,1993
1/15/2016,2218
1/16/2016,2844
1/17/2016,2706
1/18/2016,2410
1/19/2016,1951
1/20/2016,1553
1/21/2016,1259
1/22/2016,1258
1/23/2016,1194
1/24/2016,994
1/25/2016,979
1/26/2016,806
1/27/2016,904
1/28/2016,513
1/29/2016,519
1/30/2016,354
1/31/2016,406
2/1/2016,277
2/2/2016,257
2/3/2016,168
2/4/2016,154
2/5/2016,145
2/6/2016,98
2/7/2016,101
2/8/2016,98
2/9/2016,208
2/10/2016,440
2/11/2016,513
2/12/2016,479
2/13/2016,502
2/14/2016,301
2/15/2016,535
2/16/2016,546
2/17/2016,546
2/18/2016,548
2/19/2016,548
2/20/2016,520
2/21/2016,538
2/22/2016,855
2/23/2016,1146
2/24/2016,1173
2/25/2016,1149
2/26/2016,970
2/27/2016,853
2/28/2016,800
2/29/2016,882
3/1/2016,906
3/2/2016,895
3/3/2016,1075
3/4/2016,930
3/5/2016,926
3/6/2016,897
3/7/2016,1075
3/8/2016,990
3/9/2016,770
3/10/2016,707
3/11/2016,934
3/12/2016,946.35
3/13/2016,1272
3/14/2016,1179.78
3/15/2016,1257
3/16/2016,1358
3/17/2016,1260
3/18/2016,998
3/19/2016,824
3/20/2016,770
3/21/2016,623
3/22/2016,531
3/23/2016,500
3/24/2016,416
3/25/2016,510
3/26/2016,512
3/27/2016,511
3/28/2016,508
3/29/2016,572
3/30/2016,581
3/31/2016,549
4/1/2016,536
4/2/2016,407
4/3/2016,314
4/4/2016,434.95
4/5/2016,434
4/6/2016,418
4/7/2016,420
4/8/2016,420
4/9/2016,391
4/10/2016,239
4/11/2016,401
4/12/2016,400
4/13/2016,327
4/14/2016,322
4/15/2016,360
4/16/2016,369.06
4/17/2016,163
4/18/2016,336
4/19/2016,336
4/20/2016,279
4/21/2016,98.83
4/22/2016,320
4/23/2016,348
4/24/2016,101.17
4/25/2016,319
4/26/2016,321
4/27/2016,343
4/28/2016,322
4/29/2016,346
4/30/2016,373
5/1/2016,136
5/2/2016,357
5/3/2016,356
5/4/2016,325
5/5/2016,323
5/6/2016,320
5/7/2016,305
5/8/2016,119
5/9/2016,298
5/10/2016,336
5/11/2016,359
5/12/2016,348
5/13/2016,334.88
5/14/2016,99.55
5/15/2016,343
5/16/2016,320
5/17/2016,334
5/18/2016,198
5/19/2016,171
5/20/2016,179
5/21/2016,219
5/22/2016,57.37
5/23/2016,230
5/24/2016,313
5/25/2016,315
5/26/2016,89
5/27/2016,314
5/28/2016,316
5/29/2016,57
5/30/2016,359
5/31/2016,344
6/1/2016,421
6/2/2016,410
6/3/2016,810
6/4/2016,1010
6/5/2016,1052
6/6/2016,1873
6/7/2016,2176
6/8/2016,2164
6/9/2016,2158
6/10/2016,1966
6/11/2016,1261
6/12/2016,537
6/13/2016,530
6/14/2016,436
6/15/2016,387
6/16/2016,529
6/17/2016,605
6/18/2016,391
6/19/2016,287.76
6/20/2016,393
6/21/2016,444
6/22/2016,489
6/23/2016,417
6/24/2016,483
6/25/2016,484
6/26/2016,254
6/27/2016,361
6/28/2016,379
6/29/2016,350
6/30/2016,366
7/1/2016,363
7/2/2016,230
7/3/2016,167
7/4/2016,366
7/5/2016,498
7/6/2016,380
7/7/2016,397
7/8/2016,401
7/9/2016,362
7/10/2016,224
7/11/2016,413
7/12/2016,477
7/13/2016,492
7/14/2016,414
7/15/2016,390
7/16/2016,400
7/17/2016,149
7/18/2016,362
7/19/2016,362
7/20/2016,320
7/21/2016,331
7/22/2016,350
7/23/2016,332
7/24/2016,317
7/25/2016,328.14
7/26/2016,316
7/27/2016,348
7/28/2016,330
7/29/2016,331
7/30/2016,327
7/31/2016,328
8/1/2016,390
8/2/2016,361
8/3/2016,377
8/4/2016,375
8/5/2016,385
8/6/2016,388
8/7/2016,236
8/8/2016,361
8/9/2016,412
8/10/2016,339
8/11/2016,352
8/12/2016,339
8/13/2016,341
8/14/2016,235
8/15/2016,409
8/16/2016,411
8/17/2016,375
8/18/2016,339
8/19/2016,324
8/20/2016,252
8/21/2016,257
8/22/2016,339
8/23/2016,390
8/24/2016,331
8/25/2016,303
8/26/2016,369
8/27/2016,365
8/28/2016,270
8/29/2016,371
8/30/2016,418.72
8/31/2016,332
9/1/2016,391
9/2/2016,393
9/3/2016,382
9/4/2016,249
9/5/2016,383
9/6/2016,378
9/7/2016,385
9/8/2016,371
9/9/2016,387
9/10/2016,389
9/11/2016,241
9/12/2016,378
9/13/2016,355
9/14/2016,409
9/15/2016,456
9/16/2016,376
9/17/2016,346
9/18/2016,257
9/19/2016,349
9/20/2016,426
9/21/2016,278
9/22/2016,267
9/23/2016,283
9/24/2016,296
9/25/2016,175
9/26/2016,264
9/27/2016,402
9/28/2016,404
9/29/2016,420
9/30/2016,418
10/1/2016,285
10/2/2016,223
10/3/2016,341
10/4/2016,390
10/5/2016,415
10/6/2016,280
10/7/2016,232
10/8/2016,295
10/9/2016,200
10/10/2016,285
10/11/2016,296
10/12/2016,220
10/13/2016,313
10/14/2016,298
10/15/2016,272
10/16/2016,157.06
10/17/2016,311
10/18/2016,405
10/19/2016,459.27
10/20/2016,409
10/21/2016,396
10/22/2016,318.12
10/23/2016,230
10/24/2016,409
10/25/2016,380
10/26/2016,384
10/27/2016,323
10/28/2016,352
10/29/2016,315
10/30/2016,264
10/31/2016,397
11/1/2016,390
11/2/2016,293
11/3/2016,376
11/4/2016,377
11/5/2016,202
11/6/2016,196
11/7/2016,357
11/8/2016,334
11/9/2016,400
11/10/2016,541
11/11/2016,451
11/12/2016,493
11/13/2016,462
11/14/2016,480
11/15/2016,488
11/16/2016,484
11/17/2016,510
11/18/2016,537
11/19/2016,414
11/20/2016,320
11/21/2016,444
11/22/2016,458
11/23/2016,474
11/24/2016,475
11/25/2016,445
11/26/2016,404
11/27/2016,302
11/28/2016,449
11/29/2016,458
11/30/2016,442
12/1/2016,375
12/2/2016,387
12/3/2016,287
12/4/2016,254
12/5/2016,454
12/6/2016,443
12/7/2016,346
12/8/2016,376
12/9/2016,440
12/10/2016,385
12/11/2016,382
12/12/2016,385
12/13/2016,406
12/14/2016,418
12/15/2016,375
12/16/2016,378.96
12/17/2016,412.46
12/18/2016,333.45
12/19/2016,451
12/20/2016,382
12/21/2016,380
12/22/2016,487
12/23/2016,482
12/24/2016,475
12/25/2016,267
12/26/2016,385
12/27/2016,441
12/28/2016,458.43
12/29/2016,456
12/30/2016,442
12/31/2016,343
1/1/2017,262
1/2/2017,442
1/3/2017,416
1/4/2017,356
1/5/2017,360
1/6/2017,396
1/7/2017,373
1/8/2017,210
1/9/2017,377
1/10/2017,316
1/11/2017,307
1/12/2017,334
1/13/2017,411
1/14/2017,446
1/15/2017,305
1/16/2017,473
1/17/2017,466
1/18/2017,475
1/19/2017,405
1/20/2017,654
1/21/2017,1026
1/22/2017,1218
1/23/2017,1204
1/24/2017,1150
1/25/2017,1085
1/26/2017,956
1/27/2017,854
1/28/2017,802
1/29/2017,789
1/30/2017,712
1/31/2017,546
2/1/2017,461
2/2/2017,464
2/3/2017,866
2/4/2017,972
2/5/2017,861
2/6/2017,833
2/7/2017,699
2/8/2017,587
2/9/2017,558
2/10/2017,515
2/11/2017,517
2/12/2017,515
2/13/2017,456
2/14/2017,414
2/15/2017,436
2/16/2017,368
2/17/2017,380
2/18/2017,338
2/19/2017,240
2/20/2017,380
2/21/2017,292
2/22/2017,286
2/23/2017,276
2/24/2017,353
2/25/2017,264
2/26/2017,265
2/27/2017,248
2/28/2017,201
3/1/2017,324
3/2/2017,365
3/3/2017,363
3/4/2017,351
3/5/2017,264
3/6/2017,536
3/7/2017,780
3/8/2017,940
3/9/2017,891
3/10/2017,827
3/11/2017,786
3/12/2017,722
3/13/2017,666
3/14/2017,507
3/15/2017,354
3/16/2017,473
3/17/2017,372
3/18/2017,359
3/19/2017,389
3/20/2017,424
3/21/2017,472
3/22/2017,485
3/23/2017,457
3/24/2017,452
3/25/2017,387
3/26/2017,193
3/27/2017,392
3/28/2017,397
3/29/2017,416
3/30/2017,338
3/31/2017,372
4/1/2017,351
4/2/2017,166
4/3/2017,326
4/4/2017,338
4/5/2017,345
4/6/2017,327
4/7/2017,320
4/8/2017,102
4/9/2017,182
4/10/2017,447
4/11/2017,434
4/12/2017,434
4/13/2017,430
4/14/2017,168
4/15/2017,355
4/16/2017,155
4/17/2017,342
4/18/2017,353
4/19/2017,378
4/20/2017,365
4/21/2017,174
4/22/2017,342
4/23/2017,197
4/24/2017,351
4/25/2017,362
4/26/2017,385
4/27/2017,395
4/28/2017,392
4/29/2017,424
4/30/2017,245
5/1/2017,279
5/2/2017,401
5/3/2017,338
5/4/2017,418
5/5/2017,448
5/6/2017,363
5/7/2017,421
5/8/2017,696
5/9/2017,584
5/10/2017,517
5/11/2017,433
5/12/2017,455
5/13/2017,387
5/14/2017,221
5/15/2017,353
5/16/2017,376
5/17/2017,387
5/18/2017,421
5/19/2017,440
5/20/2017,793
5/21/2017,1599
5/22/2017,1783
5/23/2017,1582
5/24/2017,1463
5/25/2017,1008
5/26/2017,728
5/27/2017,579
5/28/2017,519
5/29/2017,513
5/30/2017,391
5/31/2017,343
6/1/2017,351
6/2/2017,333
6/3/2017,328
6/4/2017,234
6/5/2017,374
6/6/2017,608
6/7/2017,892
6/8/2017,961
6/9/2017,1064
6/10/2017,1020
6/11/2017,667
6/12/2017,333
6/13/2017,377
6/14/2017,664
6/15/2017,712
6/16/2017,698
6/17/2017,536
6/18/2017,314
6/19/2017,349
6/20/2017,375
6/21/2017,338
6/22/2017,366
6/23/2017,369
6/24/2017,287
6/25/2017,216
6/26/2017,241
6/27/2017,266
6/28/2017,302
6/29/2017,336
6/30/2017,338
7/1/2017,190
7/2/2017,224
7/3/2017,291
7/4/2017,361
7/5/2017,291
7/6/2017,360
7/7/2017,374
7/8/2017,261
7/9/2017,214
7/10/2017,370
7/11/2017,287
7/12/2017,349
7/13/2017,357
7/14/2017,369
7/15/2017,218
7/16/2017,221
7/17/2017,391
7/18/2017,374
7/19/2017,383
7/20/2017,405
7/21/2017,488
7/22/2017,499
7/23/2017,278
7/24/2017,431
7/25/2017,514
7/26/2017,514
7/27/2017,421
7/28/2017,482
7/29/2017,263
7/30/2017,192
7/31/2017,408
8/1/2017,425
8/2/2017,326
8/3/2017,332
8/4/2017,420
8/5/2017,381
8/6/2017,215
8/7/2017,322
8/8/2017,357
8/9/2017,409
8/10/2017,370
8/11/2017,371
8/12/2017,360
8/13/2017,181
8/14/2017,349
8/15/2017,357
8/16/2017,394
8/17/2017,356
8/18/2017,388
8/19/2017,340
8/20/2017,252
8/21/2017,311
8/22/2017,367
8/23/2017,370
8/24/2017,335
8/25/2017,372
8/26/2017,367
8/27/2017,356
8/28/2017,433
8/29/2017,534
8/30/2017,430
8/31/2017,214
9/1/2017,287
9/2/2017,318
9/3/2017,182
9/4/2017,393
9/5/2017,414
9/6/2017,448
9/7/2017,286
9/8/2017,412
9/9/2017,398
9/10/2017,276
9/11/2017,394
9/12/2017,407
9/13/2017,395
9/14/2017,398
9/15/2017,414
9/16/2017,394
9/17/2017,230
9/18/2017,410
9/19/2017,390
9/20/2017,536
9/21/2017,437
9/22/2017,420
9/23/2017,418
9/24/2017,246
9/25/2017,417
9/26/2017,412
9/27/2017,429
9/28/2017,408
9/29/2017,406
9/30/2017,424
10/1/2017,244
10/2/2017,415
10/3/2017,301
10/4/2017,354
10/5/2017,327
10/6/2017,315
10/7/2017,280
10/8/2017,157
10/9/2017,280
10/10/2017,269
10/11/2017,346
10/12/2017,103
10/13/2017,328
10/14/2017,300
10/15/2017,132
10/16/2017,329
10/17/2017,314
10/18/2017,308
10/19/2017,306
10/20/2017,300
10/21/2017,228
10/22/2017,93
10/23/2017,212
10/24/2017,90
10/25/2017,60
10/26/2017,89
10/27/2017,133
10/28/2017,132
10/29/2017,146
10/30/2017,226
10/31/2017,414
11/1/2017,421
11/2/2017,145
11/3/2017,276
11/4/2017,329
11/5/2017,130
11/6/2017,460
11/7/2017,347
11/8/2017,398
11/9/2017,437
11/10/2017,433
11/11/2017,414
11/12/2017,206
11/13/2017,411
11/14/2017,426
11/15/2017,236
11/16/2017,425
11/17/2017,445
11/18/2017,273
11/19/2017,250
11/20/2017,304
11/21/2017,416
11/22/2017,515
11/23/2017,460
11/24/2017,429
11/25/2017,434
11/26/2017,204
11/27/2017,285
11/28/2017,519
11/29/2017,501
11/30/2017,478
12/1/2017,509
12/2/2017,407
12/3/2017,236
12/4/2017,524
12/5/2017,494
12/6/2017,508
12/7/2017,355
12/8/2017,252
12/9/2017,233
12/10/2017,120
12/11/2017,264
12/12/2017,283
12/13/2017,280
12/14/2017,254
12/15/2017,305
12/16/2017,271
12/17/2017,139
12/18/2017,228
12/19/2017,219
12/20/2017,116
12/21/2017,158
12/22/2017,260
12/23/2017,160
12/24/2017,202
12/25/2017,188
12/26/2017,274
12/27/2017,306
