Date,Effluent Flow (m^3/s)
12/28/2017,187
12/29/2017,315
12/30/2017,207
12/31/2017,148
1/1/2018,189
1/2/2018,349
1/3/2018,540
1/4/2018,542
1/5/2018,525
1/6/2018,374
1/7/2018,293
1/8/2018,537
1/9/2018,558
1/10/2018,546
1/11/2018,480
1/12/2018,485
1/13/2018,477
1/14/2018,355
1/15/2018,509
1/16/2018,521
1/17/2018,540
1/18/2018,504
1/19/2018,548
1/20/2018,504
1/21/2018,329
1/22/2018,476
1/23/2018,499
1/24/2018,524
1/25/2018,507
1/26/2018,506
1/27/2018,369
1/28/2018,247
1/29/2018,436
1/30/2018,489
1/31/2018,483
2/1/2018,450
2/2/2018,453
2/3/2018,592
2/4/2018,280
2/5/2018,453
2/6/2018,471
2/7/2018,380
2/8/2018,382
2/9/2018,389
2/10/2018,337
2/11/2018,215
2/12/2018,212
2/13/2018,210
2/14/2018,298
2/15/2018,281
2/16/2018,317
2/17/2018,302
2/18/2018,265
2/19/2018,321
2/20/2018,303
2/21/2018,371
2/22/2018,358
2/23/2018,307
2/24/2018,310
2/25/2018,108
2/26/2018,308
2/27/2018,220
2/28/2018,241
3/1/2018,344
3/2/2018,294
3/3/2018,139
3/4/2018,281
3/5/2018,371
3/6/2018,286
3/7/2018,311
3/8/2018,276
3/9/2018,263
3/10/2018,126
3/11/2018,105
3/12/2018,287
3/13/2018,297
3/14/2018,267
3/15/2018,327
3/16/2018,325
3/17/2018,183
3/18/2018,116
3/19/2018,295
3/20/2018,355
3/21/2018,371
3/22/2018,338
3/23/2018,317
3/24/2018,331
3/25/2018,144
3/26/2018,353
3/27/2018,262
3/28/2018,283
3/29/2018,358
3/30/2018,102
3/31/2018,207
4/1/2018,457
4/2/2018,582
4/3/2018,622
4/4/2018,572
4/5/2018,537
4/6/2018,498
4/7/2018,374
4/8/2018,161
4/9/2018,408
4/10/2018,413
4/11/2018,377
4/12/2018,356
4/13/2018,344
4/14/2018,85
4/15/2018,82
4/16/2018,307
4/17/2018,336
4/18/2018,341
4/19/2018,286
4/20/2018,387
4/21/2018,171
4/22/2018,118
4/23/2018,320
4/24/2018,342
4/25/2018,310
4/26/2018,328
4/27/2018,155
4/28/2018,167
4/29/2018,104
4/30/2018,324
5/1/2018,105
5/2/2018,277
5/3/2018,289
5/4/2018,219
5/5/2018,208
5/6/2018,106
5/7/2018,206
5/8/2018,241
5/9/2018,227
5/10/2018,204
5/11/2018,225
5/12/2018,222
5/13/2018,103
5/14/2018,228
5/15/2018,228
5/16/2018,225
5/17/2018,196
5/18/2018,225
5/19/2018,222
5/20/2018,103
5/21/2018,103
5/22/2018,146
5/23/2018,146
5/24/2018,163
5/25/2018,202
5/26/2018,197
5/27/2018,126
5/28/2018,200
5/29/2018,186
5/30/2018,206
5/31/2018,129
6/1/2018,200
6/2/2018,130
6/3/2018,128
6/4/2018,201
6/5/2018,211
6/6/2018,209
6/7/2018,204
6/8/2018,208
6/9/2018,203
6/10/2018,109
6/11/2018,212
6/12/2018,176
6/13/2018,183
6/14/2018,195
6/15/2018,190
6/16/2018,194
6/17/2018,142
6/18/2018,181
6/19/2018,188
6/20/2018,183
6/21/2018,183
6/22/2018,159
6/23/2018,177
6/24/2018,111
6/25/2018,193
6/26/2018,155
6/27/2018,160
6/28/2018,157
6/29/2018,153
6/30/2018,153
7/1/2018,103
7/2/2018,128
7/3/2018,150
7/4/2018,157
7/5/2018,157
7/6/2018,176
7/7/2018,151
7/8/2018,107
7/9/2018,165
7/10/2018,165
7/11/2018,159
7/12/2018,160
7/13/2018,162
7/14/2018,173
7/15/2018,127
7/16/2018,151
7/17/2018,231
7/18/2018,234
7/19/2018,207
7/20/2018,157
7/21/2018,171
7/22/2018,106
7/23/2018,163
7/24/2018,232
7/25/2018,176
7/26/2018,138
7/27/2018,154
7/28/2018,165
7/29/2018,107
7/30/2018,153
7/31/2018,156
8/1/2018,158
8/2/2018,164
8/3/2018,155
8/4/2018,152
8/5/2018,101
8/6/2018,136
8/7/2018,215
8/8/2018,222
8/9/2018,214
8/10/2018,225
8/11/2018,226
8/12/2018,191
8/13/2018,227
8/14/2018,228
8/15/2018,212
8/16/2018,213
8/17/2018,212
8/18/2018,211
8/19/2018,139
8/20/2018,220
8/21/2018,235
8/22/2018,353
8/23/2018,379
8/24/2018,336
8/25/2018,242
8/26/2018,153
8/27/2018,233
8/28/2018,233
8/29/2018,241
8/30/2018,268
8/31/2018,269
9/1/2018,233
9/2/2018,121
9/3/2018,261
9/4/2018,262
9/5/2018,225
9/6/2018,207
9/7/2018,168
9/8/2018,104
9/9/2018,104
9/10/2018,270
9/11/2018,268
9/12/2018,265
9/13/2018,152
9/14/2018,267
9/15/2018,152
9/16/2018,171
9/17/2018,181
9/18/2018,189
9/19/2018,152
9/20/2018,296
9/21/2018,295
9/22/2018,161
9/23/2018,153
9/24/2018,269
9/25/2018,304
9/26/2018,210
9/27/2018,356
9/28/2018,402
9/29/2018,393
9/30/2018,242
10/1/2018,347
10/2/2018,367
10/3/2018,417
10/4/2018,252
10/5/2018,399
10/6/2018,312
10/7/2018,284
10/8/2018,322
10/9/2018,344
10/10/2018,278
10/11/2018,469
10/12/2018,311
10/13/2018,395
10/14/2018,377
10/15/2018,449
10/16/2018,512
10/17/2018,517
10/18/2018,581
10/19/2018,581
10/20/2018,511
10/21/2018,337
10/22/2018,534
10/23/2018,513
10/24/2018,481
10/25/2018,513
10/26/2018,446
10/27/2018,518
10/28/2018,401
10/29/2018,511
10/30/2018,518
10/31/2018,474
11/1/2018,326
11/2/2018,118
11/3/2018,310
11/4/2018,270
11/5/2018,508
11/6/2018,353
11/7/2018,367
11/8/2018,360
11/9/2018,295
11/10/2018,257
11/11/2018,212
11/12/2018,356
11/13/2018,237
11/14/2018,180
11/15/2018,130
11/16/2018,196
11/17/2018,159
11/18/2018,64
11/19/2018,98
11/20/2018,155
11/21/2018,217
11/22/2018,220
11/23/2018,228
11/24/2018,328
11/25/2018,180
11/26/2018,309
11/27/2018,484
11/28/2018,433
11/29/2018,499
11/30/2018,524
12/1/2018,513
12/2/2018,379
12/3/2018,603
12/4/2018,518
12/5/2018,548
12/6/2018,587
12/7/2018,535
12/8/2018,487
12/9/2018,336
12/10/2018,608
12/11/2018,583
12/12/2018,578
12/13/2018,581
12/14/2018,653
12/15/2018,237
12/16/2018,263
12/17/2018,582
12/18/2018,561
12/19/2018,384
12/20/2018,382
12/21/2018,482
12/22/2018,431
12/23/2018,350
12/24/2018,395
12/25/2018,317
12/26/2018,566
12/27/2018,560
12/28/2018,512
12/29/2018,364
12/30/2018,169
12/31/2018,398
1/1/2019,282
1/2/2019,390
1/3/2019,132
1/4/2019,391
1/5/2019,207
1/6/2019,153
1/7/2019,269
1/8/2019,413
1/9/2019,388
1/10/2019,433
1/11/2019,458
1/12/2019,462
1/13/2019,459
1/14/2019,517
1/15/2019,484
1/16/2019,498
1/17/2019,488
1/18/2019,483
1/19/2019,453
1/20/2019,360
1/21/2019,684
1/22/2019,495
1/23/2019,495
1/24/2019,508
1/25/2019,417
1/26/2019,369
1/27/2019,201
1/28/2019,522
1/29/2019,373
1/30/2019,368
1/31/2019,403
2/1/2019,389
2/2/2019,393
2/3/2019,283
2/4/2019,386
2/5/2019,262
2/6/2019,255
2/7/2019,265
2/8/2019,254
2/9/2019,395
2/10/2019,153
2/11/2019,285
2/12/2019,570
2/13/2019,570
2/14/2019,451
2/15/2019,452
2/16/2019,350
2/17/2019,205
2/18/2019,635
2/19/2019,643
2/20/2019,625
2/21/2019,684
2/22/2019,586
2/23/2019,472
2/24/2019,401
2/25/2019,497
2/26/2019,553
2/27/2019,705
2/28/2019,676
3/1/2019,670
3/2/2019,588
3/3/2019,512
3/4/2019,606
3/5/2019,651
3/6/2019,652
3/7/2019,655
3/8/2019,657
3/9/2019,620
3/10/2019,445
3/11/2019,475
3/12/2019,537
3/13/2019,512
3/14/2019,510
3/15/2019,509
3/16/2019,377
3/17/2019,323
3/18/2019,534
3/19/2019,472
3/20/2019,452
3/21/2019,463
3/22/2019,461
3/23/2019,422
3/24/2019,449
3/25/2019,515
3/26/2019,517
3/27/2019,517
3/28/2019,516
3/29/2019,516
3/30/2019,378
3/31/2019,246
4/1/2019,375
4/2/2019,389
4/3/2019,388
4/4/2019,386
4/5/2019,396
4/6/2019,468
4/7/2019,141
4/8/2019,323
4/9/2019,429
4/10/2019,514
4/11/2019,515
4/12/2019,516
4/13/2019,512
4/14/2019,313
4/15/2019,573
4/16/2019,641
4/17/2019,694
4/18/2019,658
4/19/2019,503
4/20/2019,510
4/21/2019,427
4/22/2019,563
4/23/2019,611
4/24/2019,582
4/25/2019,579
4/26/2019,574
4/27/2019,477
4/28/2019,317
4/29/2019,589
4/30/2019,506
5/1/2019,216
5/2/2019,204
5/3/2019,205
5/4/2019,240
5/5/2019,175
5/6/2019,315
5/7/2019,277
5/8/2019,251
5/9/2019,240
5/10/2019,298
5/11/2019,200
5/12/2019,100
5/13/2019,232
5/14/2019,274
5/15/2019,309
5/16/2019,249
5/17/2019,161
5/18/2019,157
5/19/2019,116
5/20/2019,203
5/21/2019,301
5/22/2019,340
5/23/2019,329
5/24/2019,132
5/25/2019,275
5/26/2019,161
5/27/2019,127
5/28/2019,135
5/29/2019,133
5/30/2019,125
5/31/2019,408
6/1/2019,112
6/2/2019,153
6/3/2019,185
6/4/2019,323
6/5/2019,323
6/6/2019,308
6/7/2019,304
6/8/2019,220
6/9/2019,120
6/10/2019,370
6/11/2019,412
6/12/2019,369
6/13/2019,199
6/14/2019,339
6/15/2019,285
6/16/2019,276
6/17/2019,337
6/18/2019,284
6/19/2019,248
6/20/2019,152
6/21/2019,120
6/22/2019,276
6/23/2019,152
6/24/2019,407
6/25/2019,353
6/26/2019,344
6/27/2019,345
6/28/2019,310
6/29/2019,243
6/30/2019,135
7/1/2019,314
7/2/2019,314
7/3/2019,334
7/4/2019,332
7/5/2019,322
7/6/2019,317
7/7/2019,163
7/8/2019,302
7/9/2019,450
7/10/2019,417
7/11/2019,323
7/12/2019,356
7/13/2019,251
7/14/2019,252
7/15/2019,379
7/16/2019,372
7/17/2019,383
7/18/2019,373
7/19/2019,379
7/20/2019,398
7/21/2019,296
7/22/2019,450
7/23/2019,412
7/24/2019,385
7/25/2019,377
7/26/2019,384
7/27/2019,441
7/28/2019,220
7/29/2019,344
7/30/2019,370
7/31/2019,375
8/1/2019,341
8/2/2019,394
8/3/2019,415
8/4/2019,272
8/5/2019,441
8/6/2019,369
8/7/2019,422
8/8/2019,333
8/9/2019,339
8/10/2019,236
8/11/2019,288
8/12/2019,305
8/13/2019,319
8/14/2019,295
8/15/2019,435
8/16/2019,297
8/17/2019,304
8/18/2019,233
8/19/2019,303
8/20/2019,303
8/21/2019,298
8/22/2019,304
8/23/2019,302
8/24/2019,298
8/25/2019,225
8/26/2019,334
8/27/2019,322
8/28/2019,398
8/29/2019,325
8/30/2019,308
8/31/2019,308
9/1/2019,170
9/2/2019,265
9/3/2019,291
9/4/2019,304
9/5/2019,351
9/6/2019,157
9/7/2019,108
9/8/2019,106
9/9/2019,269
9/10/2019,390
9/11/2019,444
9/12/2019,454
9/13/2019,483
9/14/2019,372
9/15/2019,184
9/16/2019,380
9/17/2019,399
9/18/2019,367
9/19/2019,412
9/20/2019,358
9/21/2019,364
9/22/2019,149
9/23/2019,326
9/24/2019,307
9/25/2019,296
9/26/2019,300
9/27/2019,356
9/28/2019,370
9/29/2019,155
9/30/2019,368
10/1/2019,365
10/2/2019,436
10/3/2019,301
10/4/2019,312
10/5/2019,200
10/6/2019,124
10/7/2019,297
10/8/2019,356
10/9/2019,288
10/10/2019,390
10/11/2019,276
10/12/2019,270
10/13/2019,108
10/14/2019,348
10/15/2019,230
10/16/2019,235
10/17/2019,337
10/18/2019,372
10/19/2019,204
10/20/2019,79
10/21/2019,239
10/22/2019,521
10/23/2019,107
10/24/2019,65
10/25/2019,62
10/26/2019,59
10/27/2019,59
10/28/2019,86
10/29/2019,101
10/30/2019,131
10/31/2019,108
11/1/2019,157
11/2/2019,116
11/3/2019,109
11/4/2019,174
11/5/2019,113
11/6/2019,110
11/7/2019,104
11/8/2019,119
11/9/2019,118
11/10/2019,88
11/11/2019,261
11/12/2019,118
11/13/2019,302
11/14/2019,297
11/15/2019,40
11/16/2019,20
11/17/2019,122
11/18/2019,274
11/19/2019,418
11/20/2019,423
11/21/2019,412
11/22/2019,416
11/23/2019,193
11/24/2019,76
11/25/2019,395
11/26/2019,290
11/27/2019,299
11/28/2019,310
11/29/2019,297
11/30/2019,286
12/1/2019,17
12/2/2019,323
12/3/2019,339
12/4/2019,363
12/5/2019,389
12/6/2019,510
12/7/2019,118
12/8/2019,52
12/9/2019,363
12/10/2019,462
12/11/2019,460
12/12/2019,455
12/13/2019,473
12/14/2019,444
12/15/2019,206
12/16/2019,435
12/17/2019,462
12/18/2019,458
12/19/2019,460
12/20/2019,523
12/21/2019,136
12/22/2019,307
12/23/2019,524
12/24/2019,432
12/25/2019,370
12/26/2019,534
12/27/2019,323
12/28/2019,375
12/29/2019,299
12/30/2019,345
12/31/2019,148
1/1/2020,395
1/2/2020,402
1/3/2020,334
1/4/2020,347
1/5/2020,214
1/6/2020,388
1/7/2020,405
1/8/2020,458
1/9/2020,465
1/10/2020,400
1/11/2020,460
1/12/2020,484
1/13/2020,565
1/14/2020,494
1/15/2020,534
1/16/2020,525
1/17/2020,570
1/18/2020,497
1/19/2020,358
1/20/2020,594
1/21/2020,439
1/22/2020,428
1/23/2020,394
1/24/2020,463
1/25/2020,419
1/26/2020,306
1/27/2020,556
1/28/2020,409
1/29/2020,394
1/30/2020,355
1/31/2020,413
2/1/2020,406
2/2/2020,152
2/3/2020,491
2/4/2020,542
2/5/2020,525
2/6/2020,617
2/7/2020,496
2/8/2020,512
2/9/2020,421
2/10/2020,830
2/11/2020,1835
2/12/2020,1915
2/13/2020,1631
2/14/2020,1219
2/15/2020,833
2/16/2020,648
2/17/2020,515
2/18/2020,446
2/19/2020,588
2/20/2020,598
2/21/2020,642
2/22/2020,623
2/23/2020,519
2/24/2020,622
2/25/2020,551
2/26/2020,675
2/27/2020,564
2/28/2020,730
2/29/2020,862
3/1/2020,872
3/2/2020,813
3/3/2020,715
3/4/2020,544
3/5/2020,545
3/6/2020,533
3/7/2020,264
3/8/2020,225
3/9/2020,433
3/10/2020,390
3/11/2020,395
3/12/2020,496
3/13/2020,463
3/14/2020,363
3/15/2020,224
3/16/2020,465
3/17/2020,595
3/18/2020,514
3/19/2020,479
3/20/2020,327
3/21/2020,185
3/22/2020,72
3/23/2020,146
3/24/2020,115
3/25/2020,229
3/26/2020,273
3/27/2020,286
3/28/2020,299
3/29/2020,159
3/30/2020,308
3/31/2020,287
4/1/2020,285
4/2/2020,300
4/3/2020,278
4/4/2020,232
4/5/2020,169
4/6/2020,248
4/7/2020,245
4/8/2020,263
4/9/2020,182
4/10/2020,98
4/11/2020,147
4/12/2020,127
4/13/2020,326
4/14/2020,218
4/15/2020,222
4/16/2020,216
4/17/2020,225
4/18/2020,224
4/19/2020,124
4/20/2020,246
4/21/2020,98
4/22/2020,258
4/23/2020,282
4/24/2020,279
4/25/2020,213
4/26/2020,127
4/27/2020,251
4/28/2020,265
4/29/2020,261
4/30/2020,210
5/1/2020,101
5/2/2020,217
5/3/2020,121
5/4/2020,244
5/5/2020,252
5/6/2020,262
5/7/2020,258
5/8/2020,262
5/9/2020,219
5/10/2020,134
5/11/2020,250
5/12/2020,246
5/13/2020,293
5/14/2020,244
5/15/2020,246
5/16/2020,228
5/17/2020,181
5/18/2020,241
5/19/2020,231
5/20/2020,230
5/21/2020,221
5/22/2020,222
5/23/2020,222
5/24/2020,146
5/25/2020,191
5/26/2020,180
5/27/2020,181
5/28/2020,177
5/29/2020,179
5/30/2020,180
5/31/2020,127
6/1/2020,175
6/2/2020,194
6/3/2020,195
6/4/2020,214
6/5/2020,220
6/6/2020,165
6/7/2020,142
6/8/2020,245
6/9/2020,248
6/10/2020,237
6/11/2020,141
6/12/2020,214
6/13/2020,227
6/14/2020,131
6/15/2020,196
6/16/2020,194
6/17/2020,177
6/18/2020,125
6/19/2020,176
6/20/2020,177
6/21/2020,227
6/22/2020,286
6/23/2020,195
6/24/2020,218
6/25/2020,407
6/26/2020,403
6/27/2020,237
6/28/2020,185
6/29/2020,205
6/30/2020,233
7/1/2020,266
7/2/2020,272
7/3/2020,270
7/4/2020,254
7/5/2020,150
7/6/2020,231
7/7/2020,231
7/8/2020,225
7/9/2020,227
7/10/2020,229
7/11/2020,224
7/12/2020,163
7/13/2020,228
7/14/2020,246
7/15/2020,245
7/16/2020,247
7/17/2020,241
7/18/2020,122
7/19/2020,84
7/20/2020,189
7/21/2020,193
7/22/2020,174
7/23/2020,177
7/24/2020,218
7/25/2020,184
7/26/2020,150
7/27/2020,230
7/28/2020,203
7/29/2020,212
7/30/2020,181
7/31/2020,208
8/1/2020,163
8/2/2020,150
8/3/2020,183
8/4/2020,182
8/5/2020,273
8/6/2020,183
8/7/2020,237
8/8/2020,171
8/9/2020,155
8/10/2020,183
8/11/2020,164
8/12/2020,293
8/13/2020,215
8/14/2020,215
8/15/2020,190
8/16/2020,126
8/17/2020,183
8/18/2020,229
8/19/2020,297
8/20/2020,269
8/21/2020,305
8/22/2020,257
8/23/2020,144
8/24/2020,211
8/25/2020,215
8/26/2020,208
8/27/2020,235
8/28/2020,195
8/29/2020,194
8/30/2020,181
8/31/2020,221
9/1/2020,223
9/2/2020,247
9/3/2020,208
9/4/2020,216
9/5/2020,191
9/6/2020,192
9/7/2020,191
9/8/2020,358
9/9/2020,216
9/10/2020,366
9/11/2020,356
9/12/2020,223
9/13/2020,253
9/14/2020,432
9/15/2020,436
9/16/2020,356
9/17/2020,358
9/18/2020,340
9/19/2020,325
9/20/2020,239
9/21/2020,395
9/22/2020,459
9/23/2020,417
9/24/2020,488
9/25/2020,698
9/26/2020,688
9/27/2020,243
9/28/2020,615
9/29/2020,584
9/30/2020,440
10/1/2020,623
10/2/2020,611
10/3/2020,200
10/4/2020,206
10/5/2020,284
10/6/2020,226
10/7/2020,197
10/8/2020,190
10/9/2020,189
10/10/2020,152
10/11/2020,152
10/12/2020,151
10/13/2020,151
10/14/2020,162
10/15/2020,150
10/16/2020,150
10/17/2020,188
10/18/2020,121
10/19/2020,127
10/20/2020,146
10/21/2020,149
10/22/2020,132
10/23/2020,160
10/24/2020,132
10/25/2020,91
10/26/2020,129
10/27/2020,129
10/28/2020,149
10/29/2020,158
10/30/2020,172
10/31/2020,146
11/1/2020,179
11/2/2020,179
11/3/2020,158
11/4/2020,169
11/5/2020,164
11/6/2020,211
11/7/2020,168
11/8/2020,151
11/9/2020,152
11/10/2020,151
11/11/2020,155
11/12/2020,196
11/13/2020,96
11/14/2020,92
11/15/2020,159
11/16/2020,204
11/17/2020,189
11/18/2020,195
11/19/2020,192
11/20/2020,195
11/21/2020,189
11/22/2020,222
11/23/2020,251
11/24/2020,273
11/25/2020,211
11/26/2020,211
11/27/2020,160
11/28/2020,175
11/29/2020,174
11/30/2020,231
12/1/2020,459
12/2/2020,439
12/3/2020,436
12/4/2020,405
12/5/2020,435
12/6/2020,224
12/7/2020,323
12/8/2020,320
12/9/2020,236
12/10/2020,162
12/11/2020,160
12/12/2020,208
12/13/2020,182
12/14/2020,278
12/15/2020,449
12/16/2020,448
12/17/2020,395
12/18/2020,407
12/19/2020,402
12/20/2020,222
12/21/2020,253
12/22/2020,381
12/23/2020,380
12/24/2020,238
12/25/2020,229
12/26/2020,214
12/27/2020,226
12/28/2020,340
12/29/2020,337
12/30/2020,303
12/31/2020,290