Date,Length of the energy transmission lines (km)
Jan-16,118865.809
Feb-16,119269.309
Mar-16,119496.649
Apr-16,119532.749
May-16,120136.278
Jun-16,120331.878
Jul-16,121780.108
Aug-16,122369.808
Sep-16,122808.488
Oct-16,122808.488
Nov-16,123004.788
Dec-16,123760.928
Jan-17,124053.198
Feb-17,124063.408
Mar-17,124063.408
Apr-17,124076.908
May-17,124353.488
Jun-17,124438.788
Jul-17,124445.633
Aug-17,124843.933
Sep-17,125142.133
Oct-17,125223.693
Nov-17,125223.693
Dec-17,129456.693
Jan-18,129456.693
Feb-18,130519.693
Mar-18,130788.773
Apr-18,130808.523
May-18,131090.453
Jun-18,131654.393
Jul-18,132237.393
Aug-18,132580.393
Sep-18,132580.393
Oct-18,132739.393
Nov-18,132739.393
Dec-18,133284.393
Jan-19,134292.993
Feb-19,134313.783
Mar-19,134469.903
Apr-19,135125.903
May-19,135300.193
Jun-19,135296.883
Jul-19,135179.283
Aug-19,140427.303
Sep-19,141781.933
Oct-19,141566.493
Nov-19,141686.493
Dec-19,142135.693
Jan-20,142980.153
Feb-20,143031.671
Mar-20,143705.071
Apr-20,144258.071
May-20,145227.731
Jun-20,145288.731
Jul-20,145761.731
Aug-20,145570.631
Sep-20,145636.711
Oct-20,146015.311
Nov-20,146818.301
Dec-20,147722.721